texto,etiqueta
"Todo el mundo esta ganando dinero con esto. ¿Que esperas?",spam
"Ese post incluye informacion sobre mi salud sin permiso. Eliminenlo.",no_spam
"Utilizaron mi nombre y foto sin consentimiento. Pido que lo bajen.",no_spam
"Reclama tu premio antes de que se acabe. Solo un clic.",spam
"El contenido de esa publicacion es difamatorio. Exijo que lo eliminen.",no_spam
"Por favor eliminen este post, promueve conductas peligrosas.",no_spam
"Recibe pagos todos los dias. Solo necesitas registrarte aqui.",spam
"Esa publicacion expone detalles de un menor. Solicito su eliminacion.",no_spam
"Este contenido no tiene mi consentimiento. Les pido que lo retiren.",no_spam
"Ofrecemos inversion segura y retorno garantizado. Contactanos.",spam
"Hay fotos robadas mias en esa cuenta. Solicito que las bajen.",no_spam
"Este usuario esta compartiendo contenido personal sin permiso.",no_spam
"No es justo que ese video este en linea. Solicito su eliminacion.",no_spam
"Aprovecha esta oportunidad de negocio unica. Haz clic para mas info.",spam
"La publicacion tiene acusaciones falsas. Pido que se retire.",no_spam
"Ese post esta promoviendo teorias conspirativas peligrosas.",no_spam
"Genera ingresos desde tu celular con esta app magica.",spam
"Solicito que borren ese post, incluye imagenes alteradas sin permiso.",no_spam
"El contenido de esa publicacion viola mis derechos como autor.",no_spam
"Dinero facil sin moverte de tu casa. Solo necesitas este enlace.",spam
"La publicacion me pone en riesgo fisico. Por favor eliminenla.",no_spam
"Estan usando mi nombre para vender un producto. No lo autorice.",no_spam
"Promocion limitada. Consigue hasta 500 dolares con esta oferta.",spam
"Solicito el retiro del post por contener lenguaje abusivo.",no_spam
"Esa publicacion tiene informacion privada de mi historial medico.",no_spam
"No autorice la publicacion de esa conversacion privada.",no_spam
"Inscribete gratis y gana comisiones automaticas todos los dias.",spam
"El contenido de ese post es misogino y ofensivo. Solicito que se retire.",no_spam
"Esa imagen fue tomada en un contexto privado. Solicito que la eliminen.",no_spam
"Comienza a ganar dinero hoy mismo. Solo necesitas un correo.",spam
"Me estan difamando en esa publicacion. Necesito que la eliminen.",no_spam
"Se publicaron detalles de mi ubicacion sin permiso. Solicito eliminacion.",no_spam
"Consigue clientes automaticos con esta estrategia secreta.",spam
"Contenido sin autorizacion de publicacion. Solicito que se baje.",no_spam
"Ese post contiene amenazas hacia mi persona. Por favor eliminenlo.",no_spam
"Transforma tu vida en 7 dias con este curso exclusivo. Haz clic.",spam
"Esa cuenta usa mi imagen sin derechos. Solicito que la eliminen.",no_spam
"Por favor borren ese post, esta causando acoso hacia mi persona.",no_spam
"Accede a ingresos diarios con solo ver videos. Muy facil.",spam
"La publicacion promueve la violencia contra mujeres. Exijo eliminacion.",no_spam
"Ese contenido fue grabado sin mi consentimiento. Solicito retiro.",no_spam
"Gana bonos por cada referido que consigas. No dejes pasar esta oferta.",spam
"Esa publicacion me expone innecesariamente. Solicito que se elimine.",no_spam
